Dataset,Shots,MLP,MLP_SD,LogReg,LogReg_SD,XGBoost,XGBoost_SD,SAINT,SAINT_SD,HyperFast,HyperFast_SD,MotherNet,MotherNet_SD,TabDistill+PFN,TabDistill+PFN_SD,TabDistill+T0pp,TabDistill+T0pp_SD,TabPFN,TabPFN_SD,TabPFNv2,TabPFNv2_SD,TabICL,TabICL_SD,TabLLM,TabLLM_SD
Bank,4,0.57,0.08,0.54,0.10,0.50,0.00,0.48,0.02,0.54,0.06,0.53,0.11,0.72,0.01,0.70,0.02,0.61,0.12,0.60,0.12,0.62,0.07,0.59,0.10
Bank,8,0.61,0.11,0.65,0.06,0.56,0.10,0.69,0.02,0.48,0.03,0.62,0.07,0.67,0.06,0.67,0.02,0.69,0.07,0.65,0.11,0.69,0.11,0.64,0.05
Bank,16,0.72,0.05,0.72,0.03,0.72,0.08,0.77,0.02,0.46,0.04,0.72,0.04,0.68,0.02,0.72,0.01,0.74,0.02,0.73,0.12,0.74,0.08,0.65,0.05
Bank,32,0.76,0.04,0.73,0.04,0.78,0.04,0.84,0.01,0.49,0.02,0.80,0.06,0.79,0.02,0.74,0.02,0.79,0.05,0.82,0.06,0.78,0.06,0.64,0.06
Bank,64,0.81,0.03,0.77,0.04,0.81,0.02,0.83,0.01,0.51,0.03,0.84,0.01,0.81,0.02,0.80,0.02,0.83,0.01,0.86,0.01,0.83,0.02,0.69,0.03
Blood,4,0.57,0.10,0.60,0.16,0.50,0.00,0.58,0.04,0.60,0.05,0.60,0.08,0.56,0.07,0.62,0.08,0.60,0.07,0.59,0.07,0.55,0.04,0.58,0.09
Blood,8,0.61,0.09,0.66,0.12,0.55,0.09,0.64,0.02,0.62,0.06,0.61,0.08,0.67,0.05,0.58,0.08,0.62,0.06,0.61,0.04,0.54,0.07,0.66,0.03
Blood,16,0.60,0.09,0.63,0.11,0.55,0.07,0.68,0.02,0.66,0.08,0.68,0.10,0.69,0.07,0.67,0.06,0.62,0.08,0.63,0.09,0.55,0.03,0.66,0.07
Blood,32,0.61,0.07,0.65,0.10,0.65,0.07,0.71,0.01,0.67,0.03,0.69,0.03,0.68,0.09,0.67,0.04,0.67,0.04,0.64,0.05,0.60,0.03,0.68,0.04
Blood,64,0.67,0.08,0.73,0.03,0.72,0.02,0.70,0.02,0.71,0.03,0.74,0.02,0.75,0.00,0.68,0.06,0.72,0.03,0.72,0.02,0.64,0.01,0.68,0.04
Calhousing,4,0.49,0.07,0.59,0.10,0.50,0.00,0.82,0.01,0.62,0.06,0.66,0.10,0.64,0.06,0.67,0.05,0.68,0.10,0.67,0.11,0.60,0.01,0.63,0.05
Calhousing,8,0.63,0.10,0.66,0.13,0.57,0.10,0.72,0.01,0.65,0.05,0.69,0.09,0.65,0.03,0.67,0.03,0.69,0.08,0.68,0.10,0.62,0.05,0.60,0.07
Calhousing,16,0.72,0.12,0.74,0.14,0.75,0.04,0.64,0.03,0.74,0.07,0.82,0.07,0.65,0.03,0.66,0.05,0.81,0.04,0.80,0.05,0.68,0.04,0.70,0.08
Calhousing,32,0.79,0.07,0.83,0.04,0.75,0.06,0.78,0.01,0.79,0.04,0.86,0.02,0.77,0.03,0.74,0.03,0.86,0.03,0.87,0.02,0.75,0.02,0.77,0.08
Calhousing,64,0.82,0.04,0.89,0.01,0.81,0.06,0.81,0.01,0.82,0.02,0.89,0.01,0.84,0.00,0.81,0.01,0.90,0.01,0.90,0.01,0.82,0.03,0.77,0.04
Heart,4,0.63,0.14,0.67,0.28,0.50,0.00,0.66,0.05,0.43,0.08,0.66,0.16,0.77,0.10,0.76,0.11,0.74,0.14,0.75,0.12,0.73,0.16,0.76,0.14
Heart,8,0.69,0.17,0.84,0.07,0.60,0.13,0.74,0.07,0.57,0.16,0.78,0.10,0.85,0.01,0.76,0.09,0.78,0.08,0.79,0.05,0.75,0.09,0.83,0.05
Heart,16,0.83,0.08,0.90,0.03,0.84,0.07,0.89,0.01,0.52,0.11,0.84,0.04,0.81,0.05,0.82,0.05,0.85,0.04,0.84,0.04,0.84,0.04,0.87,0.04
Heart,32,0.84,0.05,0.90,0.01,0.84,0.07,0.91,0.01,0.52,0.17,0.86,0.02,0.85,0.03,0.88,0.01,0.87,0.01,0.86,0.02,0.86,0.02,0.87,0.06
