Dataset,Shots,MLP,MLP_SD,LogReg,LogReg_SD,XGBoost,XGBoost_SD,SAINT,SAINT_SD,HyperFast,HyperFast_SD,MotherNet,MotherNet_SD,TabDistill+PFN,TabDistill+PFN_SD,TabDistill+T0pp,TabDistill+T0pp_SD,TabPFN,TabPFN_SD,TabICL,TabICL_SD,TabLLM,TabLLM_SD,TabPFN (our implmentation),TabPFN_SD
Bank,4,0.57,0.08,0.54,0.1,0.5,0,0.48,0.02,0.54,0.06,0.53,0.11,0.72,0.01,0.7,0.02,0.61,0.12,0.62,0.07,0.59,0.1,0.63,0.05
Bank,8,0.61,0.11,0.65,0.06,0.56,0.1,0.69,0.02,0.48,0.03,0.62,0.07,0.67,0.06,0.67,0.02,0.69,0.07,0.69,0.11,0.64,0.05,0.68,0.08
Bank,16,0.72,0.05,0.72,0.03,0.72,0.08,0.77,0.02,0.46,0.04,0.72,0.04,0.68,0.02,0.72,0.01,0.74,0.02,0.74,0.08,0.65,0.05,0.75,0.08
Blood,4,0.57,0.1,0.6,0.16,0.5,0,0.58,0.04,0.6,0.05,0.6,0.08,0.56,0.07,0.62,0.08,0.6,0.07,0.55,0.04,0.58,0.09,0.55,0.2
Blood,8,0.61,0.09,0.66,0.12,0.55,0.09,0.64,0.02,0.62,0.06,0.61,0.08,0.67,0.05,0.58,0.08,0.62,0.06,0.54,0.07,0.66,0.03,0.61,0.14
Blood,16,0.6,0.09,0.63,0.11,0.55,0.07,0.68,0.02,0.66,0.08,0.68,0.1,0.69,0.07,0.67,0.06,0.62,0.08,0.55,0.03,0.66,0.07,0.59,0.12
Calhousing,4,0.49,0.07,0.59,0.1,0.5,0,0.82,0.01,0.62,0.06,0.66,0.1,0.64,0.06,0.67,0.05,0.68,0.1,0.6,0.01,0.63,0.05,0.59,0.08
Calhousing,8,0.63,0.1,0.66,0.13,0.57,0.1,0.72,0.01,0.65,0.05,0.69,0.09,0.65,0.03,0.67,0.03,0.69,0.08,0.62,0.05,0.6,0.07,0.7,0.1
Calhousing,16,0.72,0.12,0.74,0.14,0.75,0.04,0.64,0.03,0.74,0.07,0.82,0.07,0.65,0.03,0.66,0.05,0.81,0.04,0.68,0.04,0.7,0.08,0.83,0.04
Car,4,0.53,0.09,0.65,0.03,0.5,0,0.57,0.02,0.7,0.03,0.59,0.1,0.74,0.05,0.7,0.07,0.6,0.08,0.66,0.04,0.83,0.03,0.66,0.03
Car,8,0.7,0.08,0.73,0.06,0.53,0.07,0.66,0.02,0.76,0.03,0.62,0.09,0.81,0.01,0.73,0.04,0.63,0.08,0.76,0.03,0.85,0.03,0.75,0.07
Car,16,0.8,0.06,0.87,0.05,0.73,0.08,0.72,0.02,0.84,0.06,0.73,0.07,0.8,0.04,0.75,0.04,0.7,0.05,0.84,0.05,0.86,0.03,0.92,0.03
Creditg,4,0.49,0.07,0.59,0.03,0.5,0,0.61,0.02,0.48,0.1,0.51,0.05,0.54,0.02,0.55,0.02,0.48,0.07,0.53,0.06,0.69,0.04,0.58,0.03
Creditg,8,0.55,0.06,0.6,0.02,0.5,0.01,0.63,0.02,0.51,0.08,0.58,0.06,0.67,0.03,0.63,0.03,0.58,0.07,0.6,0.05,0.66,0.04,0.6,0.04
Creditg,16,0.6,0.05,0.62,0.03,0.56,0.05,0.63,0.02,0.53,0.06,0.62,0.1,0.73,0.02,0.74,0.01,0.62,0.08,0.61,0.06,0.66,0.05,0.61,0.05
Diabetes,4,0.58,0.1,0.58,0.14,0.5,0,0.47,0.04,0.71,0.14,0.69,0.16,0.6,0.11,0.58,0.1,0.71,0.14,0.66,0.12,0.61,0.09,0.56,0.11
Diabetes,8,0.56,0.15,0.63,0.14,0.53,0.08,0.69,0.03,0.73,0.09,0.76,0.09,0.67,0.06,0.69,0.12,0.77,0.08,0.72,0.08,0.63,0.08,0.61,0.16
Diabetes,16,0.64,0.11,0.73,0.04,0.64,0.15,0.64,0.12,0.72,0.12,0.74,0.1,0.74,0.13,0.79,0.03,0.73,0.1,0.7,0.11,0.69,0.07,0.69,0.11
Heart,4,0.63,0.14,0.67,0.28,0.5,0,0.66,0.05,0.43,0.08,0.66,0.16,0.77,0.1,0.76,0.11,0.74,0.14,0.73,0.16,0.76,0.14,0.67,0.21
Heart,8,0.69,0.17,0.84,0.07,0.6,0.13,0.74,0.07,0.57,0.16,0.78,0.1,0.85,0.01,0.76,0.09,0.78,0.08,0.75,0.09,0.83,0.05,0.8,0.08
Heart,16,0.83,0.08,0.9,0.03,0.84,0.07,0.89,0.01,0.52,0.11,0.84,0.04,0.81,0.05,0.82,0.05,0.85,0.04,0.84,0.04,0.87,0.04,0.89,0.02
Higgs,4,0.5,0.02,0.5,0.01,0.5,0,0.53,0.01,0.52,0.04,0.51,0.03,0.5,0.02,0.71,0.08,0.52,0.03,0.52,0.03,,,0.51,0.02
Higgs,8,0.5,0.02,0.51,0.02,0.5,0.01,0.54,0.01,0.52,0.02,0.53,0.02,0.51,0.01,0.76,0.05,0.53,0.02,0.53,0.03,,,0.52,0.01
Higgs,16,0.51,0.01,0.51,0.01,0.52,0.03,0.55,0.01,0.53,0.02,0.53,0.02,0.52,0.02,0.76,0.05,0.54,0.02,0.54,0.01,,,0.51,0.02
Income,4,0.51,0.1,0.76,0.07,0.5,0,0.56,0.08,0.3,0.02,0.59,0.05,0.68,0.08,0.7,0.03,0.6,0.13,0.67,0.15,0.84,0.01,0.69,0.06
Income,8,0.69,0.05,0.75,0.09,0.57,0.11,0.75,0.04,0.39,0.15,0.64,0.06,0.75,0.03,0.77,0.02,0.67,0.13,0.72,0.08,0.84,0.02,0.74,0.09
Income,16,0.74,0.07,0.79,0.02,0.65,0.14,0.84,0.01,0.48,0.1,0.7,0.06,0.8,0.02,0.83,0.01,0.72,0.05,0.78,0.03,0.84,0.04,0.78,0.01
Jungle,4,0.62,0.03,0.62,0.06,0.5,0,0.57,0.02,0.58,0.07,0.58,0.05,0.67,0.08,0.63,0.14,0.59,0.07,0.62,0.07,0.64,0.01,0.62,0.08
Jungle,8,0.61,0.02,0.62,0.07,0.56,0.09,0.67,0.01,0.64,0.06,0.68,0.05,0.71,0.04,0.66,0.13,0.68,0.04,0.65,0.04,0.64,0.02,0.66,0.09
