dataset, n_shots, random_seed, roc_auc, accuracy
bank, 4, 14, 0.6110616482141252, 0.673995047557335
bank, 4, 26, 0.5701596776583485, 0.5347018120386012
bank, 4, 42, 0.5817396052998731, 0.7660780819698688
bank, 4, 58, 0.5125857106579694, 0.17736224572446832
bank, 4, 97, 0.5405531708082878, 0.2788873203582421
bank, 8, 14, 0.5243704770120146, 0.7583948531623892
bank, 8, 26, 0.5722282380967342, 0.7000995116984101
bank, 8, 42, 0.554135897309074, 0.5892249658651733
bank, 8, 58, 0.38520451052677807, 0.7099349702622018
bank, 8, 97, 0.486809914299452, 0.3042975168359908
bank, 16, 14, 0.3505287938142224, 0.6853810372358891
bank, 16, 26, 0.38195920459389526, 0.600356390733841
bank, 16, 42, 0.24074345632366229, 0.5324338710050681
bank, 16, 58, 0.30749400996212223, 0.735622873805281
bank, 16, 97, 0.34099262344216763, 0.4639559371456342
bank, 32, 14, 0.20782794543593178, 0.6823494017726968
bank, 32, 26, 0.3528511045653696, 0.6110249704936243
bank, 32, 42, 0.15394267730506933, 0.7507810511212423
bank, 32, 58, 0.2744488112676898, 0.729166184536345
bank, 32, 97, 0.3026307483184499, 0.535210941658374
bank, 64, 14, 0.15811121691169644, 0.7670963412094143
bank, 64, 26, 0.19108250382183445, 0.7659623706926477
bank, 64, 42, 0.12189581134411089, 0.8410358473536831
bank, 64, 58, 0.1770032265894948, 0.8023419962509546
bank, 64, 97, 0.2014944272194455, 0.732290389021314
blood, 4, 14, 0.3027991326631185, 0.5267379679144385
blood, 4, 26, 0.7146264537748866, 0.2807486631016043
blood, 4, 42, 0.3629607727183126, 0.5320855614973262
blood, 4, 58, 0.2667652276759314, 0.7700534759358288
blood, 4, 97, 0.6060516459688547, 0.30213903743315507
blood, 8, 14, 0.3236152178198305, 0.6497326203208557
blood, 8, 26, 0.31640055194165184, 0.7593582887700535
blood, 8, 42, 0.3819633353045535, 0.4919786096256685
blood, 8, 58, 0.2644391878572837, 0.6978609625668449
blood, 8, 97, 0.46968263355016765, 0.6229946524064172
blood, 16, 14, 0.3066232998225902, 0.6229946524064172
blood, 16, 26, 0.25722452197910506, 0.23796791443850268
blood, 16, 42, 0.4101912083579736, 0.5481283422459893
blood, 16, 58, 0.3084368223930613, 0.6390374331550802
blood, 16, 97, 0.470273999605756, 0.3689839572192513
blood, 32, 14, 0.2906169919179972, 0.5614973262032086
blood, 32, 26, 0.2711807608909915, 0.23796791443850268
blood, 32, 42, 0.44255864380051246, 0.5374331550802139
blood, 32, 58, 0.3309087325054209, 0.5882352941176471
blood, 32, 97, 0.37380248373743347, 0.4839572192513369
blood, 64, 14, 0.22946974177015572, 0.6363636363636364
blood, 64, 26, 0.2634535777646363, 0.6844919786096256
blood, 64, 42, 0.24113936526710034, 0.6203208556149733
blood, 64, 58, 0.30551941651882514, 0.6577540106951871
blood, 64, 97, 0.2458702937118076, 0.6631016042780749
calhousing, 4, 14, 0.35322575378225346, 0.6021894093686354
calhousing, 4, 26, 0.4547803445006357, 0.47041751527494907
