dataset,seed,train_examples,roc_auc
calhousing,58,4,0.6828978138683712
calhousing,97,4,0.5977654593257985
calhousing,14,8,0.6358066502779134
calhousing,26,8,0.6216465844966967
calhousing,42,8,0.6893211794364821
calhousing,58,8,0.6408798315495465
calhousing,97,8,0.6515299667307843
calhousing,14,16,0.6768612166839253
calhousing,26,16,0.6234924061978303
calhousing,42,16,0.6114588976643751
calhousing,58,16,0.6880990796961572
calhousing,97,16,0.661160994131111
calhousing,14,32,0.7439779907562387
calhousing,26,32,0.7453420137638193
calhousing,42,32,0.8133199766870864
calhousing,58,32,0.776532389412599
calhousing,97,32,0.7578790564261753
calhousing,14,64,0.8348159904072067
calhousing,26,64,0.837016796565793
calhousing,42,64,0.8327929772061754
calhousing,58,64,0.8404156130485244
calhousing,97,64,0.8303204677357839
